,nodes,DC
0,1,0.4199395770392749
1,47,0.3564954682779456
2,110,0.30513595166163143
3,4,0.283987915407855
4,5,0.283987915407855
5,112,0.2628398791540785
6,110,0.256797583081571
7,54,0.23564954682779457
8,52,0.21148036253776434
9,1,0.2054380664652568
10,51,0.20241691842900303
11,5,0.18731117824773413
12,57,0.18731117824773413
13,115,0.18429003021148035
14,2,0.18126888217522658
15,7,0.1782477341389728
16,47,0.1782477341389728
17,6,0.17220543806646527
18,56,0.1691842900302115
19,117,0.1691842900302115
20,114,0.16012084592145015
21,10,0.1510574018126888
22,50,0.1510574018126888
23,111,0.1510574018126888
24,55,0.14803625377643503
25,58,0.14501510574018128
26,49,0.1419939577039275
27,48,0.13897280966767372
28,116,0.13595166163141995
29,60,0.13293051359516617
30,9,0.1268882175226586
31,113,0.1268882175226586
32,13,0.12386706948640483
33,65,0.12386706948640483
34,8,0.10876132930513595
35,63,0.10574018126888217
36,59,0.1027190332326284
37,68,0.1027190332326284
38,64,0.09969788519637462
39,18,0.08761329305135952
40,118,0.08761329305135952
41,120,0.08761329305135952
42,205,0.08761329305135952
43,121,0.08459214501510574
44,14,0.08157099697885196
45,61,0.08157099697885196
46,12,0.07854984894259819
47,62,0.07854984894259819
48,53,0.07250755287009064
49,17,0.06948640483383686
50,67,0.06948640483383686
51,201,0.06948640483383686
52,16,0.06646525679758308
53,71,0.06646525679758308
54,122,0.06646525679758308
55,11,0.0634441087613293
56,23,0.060422960725075525
57,66,0.060422960725075525
58,15,0.05740181268882175
59,21,0.05740181268882175
60,28,0.05740181268882175
61,29,0.05740181268882175
62,152,0.05740181268882175
63,25,0.054380664652567974
64,27,0.054380664652567974
65,74,0.054380664652567974
66,119,0.054380664652567974
67,32,0.0513595166163142
68,69,0.0513595166163142
69,96,0.0513595166163142
70,123,0.0513595166163142
71,144,0.0513595166163142
72,19,0.04833836858006042
73,20,0.04833836858006042
74,26,0.045317220543806644
75,72,0.045317220543806644
76,82,0.045317220543806644
77,226,0.045317220543806644
78,33,0.04229607250755287
79,70,0.04229607250755287
80,208,0.04229607250755287
81,219,0.04229607250755287
82,22,0.03927492447129909
83,164,0.03927492447129909
84,200,0.03927492447129909
85,79,0.03625377643504532
86,124,0.03323262839879154
87,157,0.03323262839879154
88,30,0.030211480362537763
89,31,0.030211480362537763
90,73,0.030211480362537763
91,83,0.030211480362537763
92,85,0.030211480362537763
93,132,0.030211480362537763
94,134,0.030211480362537763
95,143,0.030211480362537763
96,160,0.030211480362537763
97,197,0.030211480362537763
98,256,0.030211480362537763
99,75,0.027190332326283987
100,84,0.027190332326283987
101,105,0.027190332326283987
102,125,0.027190332326283987
103,127,0.027190332326283987
104,128,0.027190332326283987
105,131,0.027190332326283987
106,153,0.027190332326283987
107,154,0.027190332326283987
108,155,0.027190332326283987
109,163,0.027190332326283987
110,168,0.027190332326283987
111,257,0.027190332326283987
112,34,0.02416918429003021
113,81,0.02416918429003021
114,133,0.02416918429003021
115,196,0.02416918429003021
116,206,0.02416918429003021
117,223,0.02416918429003021
118,224,0.02416918429003021
119,225,0.02416918429003021
120,229,0.02416918429003021
121,240,0.02416918429003021
122,243,0.02416918429003021
123,320,0.02416918429003021
124,35,0.021148036253776436
125,76,0.021148036253776436
126,86,0.021148036253776436
127,87,0.021148036253776436
128,93,0.021148036253776436
129,108,0.021148036253776436
130,129,0.021148036253776436
131,165,0.021148036253776436
132,169,0.021148036253776436
133,198,0.021148036253776436
134,202,0.021148036253776436
135,238,0.021148036253776436
136,239,0.021148036253776436
137,258,0.021148036253776436
138,260,0.021148036253776436
139,24,0.01812688821752266
140,38,0.01812688821752266
141,40,0.01812688821752266
142,77,0.01812688821752266
143,78,0.01812688821752266
144,89,0.01812688821752266
145,156,0.01812688821752266
146,161,0.01812688821752266
147,173,0.01812688821752266
148,183,0.01812688821752266
149,231,0.01812688821752266
150,232,0.01812688821752266
151,253,0.01812688821752266
152,259,0.01812688821752266
153,263,0.01812688821752266
154,39,0.015105740181268881
155,80,0.015105740181268881
156,90,0.015105740181268881
157,126,0.015105740181268881
158,130,0.015105740181268881
