,nodes,BC
0,4148,0.28841562147939614
1,2504,0.28169812331624505
2,1200,0.2796951897344531
3,4205,0.27764988777849725
4,2490,0.26730447500467747
5,1222,0.24827101665302162
6,1267,0.2365166910499439
7,1202,0.20523301004236522
8,413,0.20495396256691528
9,2570,0.20311626353593562
10,2553,0.19230583355335729
11,2569,0.1862957329429391
12,45,0.18412340121277274
13,89,0.1774156421178842
14,1124,0.1711203394550913
15,4098,0.15707883204186773
16,2210,0.15365409555455403
17,47,0.14786129147940552
18,2199,0.13277801717515134
19,382,0.13164241799743606
20,1443,0.1310109821542514
21,1093,0.1304940621877346
22,414,0.13040384929336846
23,1201,0.12390473132713056
24,2519,0.11575596560229205
25,4191,0.11564829740073079
26,2282,0.11384652493904854
27,4190,0.10875962587388299
28,4182,0.10811291908931799
29,1123,0.1067770660876473
30,4826,0.1064961855581352
31,385,0.10343301355652045
32,4823,0.09904553808424105
33,2207,0.09791849703472465
34,2577,0.09768787259222003
35,407,0.09562486897360298
36,1107,0.09257054739731585
37,2349,0.09173701062795783
38,2289,0.09166067148798607
39,1301,0.09141990181753137
40,4635,0.09003955541599623
41,2219,0.08740221352398168
42,1134,0.08714284296989813
43,2520,0.08646121592455133
44,1066,0.08521040238836529
45,4463,0.07868904675739072
46,267,0.07683633189701845
47,2263,0.07631109816485049
48,3767,0.07590364275433271
49,2317,0.0756815040544817
50,2318,0.07566055117963373
51,4835,0.07250669032277239
52,1475,0.07172520931931484
53,4464,0.07083897551668596
54,411,0.06769041038333717
55,195,0.0663210562205624
56,381,0.06575634727459045
57,4879,0.06379786926120953
58,390,0.06152277950851521
59,4890,0.060492324843076845
60,41,0.05986772486767211
61,1116,0.05980629407288228
62,4864,0.05969369215873002
63,1274,0.059014575007997325
64,4888,0.058909584970218136
65,1315,0.05577587669967828
66,713,0.055178270229936786
67,3288,0.05392301744155808
68,4868,0.05262806507506041
69,3761,0.051737353233227465
70,4459,0.0496066221739203
71,2582,0.04927582895658576
72,373,0.0482210356497025
73,302,0.04802172570296545
74,1214,0.047828397473208724
75,1480,0.04757053277224939
76,2571,0.04736655540281475
77,2566,0.047085397662121234
78,110,0.046878294123115505
79,2908,0.046415222213409615
80,4202,0.04580654230114048
81,4446,0.04579137564198959
82,3304,0.045042444905248794
83,2413,0.04465413295718356
84,3321,0.044396903954169474
85,1126,0.04364505416730794
86,436,0.04291864081051402
87,3333,0.04156124050292383
88,1170,0.04060413095243898
89,3307,0.04058788266488554
90,399,0.04053698229396862
91,4639,0.04033523676953246
92,2431,0.039166093875451245
93,2572,0.038995364900056936
94,1013,0.03882782410252074
95,2542,0.03809141138792085
96,676,0.03796611688033558
97,241,0.0375238022721082
98,384,0.037108352715456754
99,785,0.03663696138836778
100,4341,0.03605944808917452
101,557,0.03605036687880159
102,4342,0.03567178452501874
103,324,0.035529398174901645
104,4531,0.03409705821405494
105,1080,0.03368939329968065
106,1476,0.033038005629053034
107,1332,0.03300752069350252
108,730,0.032998367436130084
109,1342,0.03287564622213083
110,96,0.0328719301530847
111,4146,0.03225178494336593
112,1082,0.0321193653920308
113,2196,0.03194641008286996
114,4627,0.03194495739342791
115,1037,0.031789150929405964
116,4885,0.031304348905430275
117,4332,0.031275341240892894
118,2191,0.031113057671111995
119,787,0.03093979073129417
120,2521,0.03067059406767226
121,4099,0.03024956389131494
122,3750,0.029953591383564796
123,4586,0.02984402043608791
124,2583,0.029677469929563324
125,769,0.029608623474283845
126,2931,0.029380266679919248
127,1200,0.028560362827963814
128,3968,0.028418608242572314
129,3966,0.02811588669966784
130,2484,0.027812875929005804
131,1290,0.02774648248696934
132,4886,0.027638349418322994
133,2550,0.027059743051129393
134,1293,0.026884778400623317
135,2867,0.026658097532218056
136,3749,0.02661181311243826
137,1055,0.02658630188670441
138,1224,0.025958600656086274
139,2543,0.02575684399076601
140,4550,0.02569944743743588
141,4898,0.02519711640420657
142,736,0.025163518886724703
143,2499,0.025030742201046435
144,2395,0.024906544288967377
145,3943,0.02489895873443044
146,1017,0.02473673859709334
147,1088,0.024699375074657956
148,1284,0.024306451001097632
149,4860,0.02409321705014578
150,4873,0.023626708287586375
151,18,0.023269885048233477
152,1149,0.023155586492643248
153,740,0.02315420166524013
154,776,0.02315189458726589
155,2401,0.022983153140733095
156,2517,0.022919417727086982
157,193,0.022889295133870547
158,1185,0.022548270492743303
159,2502,0.022470535560266396
160,2343,0.02232513556839815
161,4897,0.02211919688898447
162,4023,0.021635872563790372
163,4134,0.021587623108979128
164,739,0.02156439237722394
165,2440,0.021026894856465007
166,1109,0.020851953830483428
167,1054,0.020703355421440493
168,4548,0.02033148542440779
169,3334,0.02023791484663842
170,4855,0.02012550876005043
171,556,0.02002955774874037
172,2674,0.02000961806683969
173,4360,0.01911996330871768
174,4884,0.01901534745533126
175,986,0.019012608409083375
176,2501,0.019004540784081172
177,3746,0.018501344395134598
178,1048,0.018452026403177148
179,2273,0.018396140386944926
180,1043,0.018271451725332323
181,2337,0.01814020412706008
182,4156,0.01808834462349053
