,nodes,DC
0,2682,0.003846153846153846
1,4447,0.0036437246963562753
2,818,0.0028340080971659917
3,3413,0.0028340080971659917
4,4327,0.0028340080971659917
5,2364,0.002631578947368421
6,2502,0.002631578947368421
7,2531,0.002631578947368421
8,2543,0.002631578947368421
9,3875,0.002631578947368421
10,1178,0.00242914979757085
11,2417,0.00242914979757085
12,2418,0.00242914979757085
13,2582,0.00242914979757085
14,2624,0.00242914979757085
15,985,0.002226720647773279
16,1268,0.002226720647773279
17,1293,0.002226720647773279
18,2247,0.002226720647773279
19,2413,0.002226720647773279
20,4316,0.002226720647773279
21,4332,0.002226720647773279
22,4352,0.002226720647773279
23,4360,0.002226720647773279
24,4362,0.002226720647773279
25,4372,0.002226720647773279
26,711,0.0020242914979757085
27,1013,0.0020242914979757085
28,1035,0.0020242914979757085
29,1066,0.0020242914979757085
30,1080,0.0020242914979757085
31,1123,0.0020242914979757085
32,1126,0.0020242914979757085
33,1284,0.0020242914979757085
34,1424,0.0020242914979757085
35,2494,0.0020242914979757085
36,2517,0.0020242914979757085
37,2542,0.0020242914979757085
38,2572,0.0020242914979757085
39,2674,0.0020242914979757085
40,2754,0.0020242914979757085
41,2809,0.0020242914979757085
42,2892,0.0020242914979757085
43,3102,0.0020242914979757085
44,3288,0.0020242914979757085
45,3322,0.0020242914979757085
46,3815,0.0020242914979757085
47,4328,0.0020242914979757085
48,4337,0.0020242914979757085
49,4340,0.0020242914979757085
50,4371,0.0020242914979757085
51,4383,0.0020242914979757085
52,79,0.0018218623481781376
53,580,0.0018218623481781376
54,830,0.0018218623481781376
55,835,0.0018218623481781376
56,1475,0.0018218623481781376
57,1500,0.0018218623481781376
58,1522,0.0018218623481781376
59,2198,0.0018218623481781376
60,2219,0.0018218623481781376
61,2292,0.0018218623481781376
62,2431,0.0018218623481781376
63,2499,0.0018218623481781376
64,2505,0.0018218623481781376
65,2508,0.0018218623481781376
66,2524,0.0018218623481781376
67,2554,0.0018218623481781376
