,nodes_name,new_name
0,344,1
1,1,2
2,287,3
3,2,4
4,187,5
5,3,6
6,476,7
7,194,8
8,4,9
9,209,10
10,243,11
11,5,12
12,349,13
13,430,14
14,441,15
15,478,16
16,48,17
17,6,18
18,122,19
19,143,20
20,66,21
21,7,22
22,87,23
23,93,24
24,110,25
25,213,26
26,297,27
27,453,28
28,269,29
29,8,30
30,262,31
31,9,32
32,280,33
33,10,34
34,347,35
35,378,36
36,393,37
37,432,38
38,11,39
39,163,40
40,169,41
41,251,42
42,282,43
43,333,44
44,355,45
45,364,46
46,13,47
47,12,48
48,120,49
49,162,50
50,463,51
51,422,52
52,14,53
53,81,54
54,15,55
55,313,56
56,457,57
57,506,58
58,67,59
59,16,60
60,26,61
61,17,62
62,128,63
63,456,64
64,113,65
65,18,66
66,452,67
67,477,68
68,19,69
69,34,70
70,20,71
71,337,72
72,415,73
73,418,74
74,248,75
75,21,76
76,292,77
77,45,78
78,22,79
79,291,80
80,23,81
81,24,82
82,32,83
83,115,84
84,121,85
85,198,86
86,204,87
87,305,88
88,306,89
89,374,90
90,379,91
91,414,92
92,417,93
93,499,94
94,516,95
95,25,96
96,82,97
97,129,98
98,39,99
99,97,100
100,207,101
101,208,102
102,263,103
103,27,104
104,386,105
105,433,106
106,435,107
107,71,108
108,28,109
109,369,110
110,389,111
111,134,112
112,29,113
113,404,114
114,434,115
115,53,116
116,30,117
117,384,118
118,401,119
119,200,120
120,31,121
121,258,122
122,299,123
123,361,124
124,388,125
125,492,126
126,497,127
127,83,128
128,33,129
129,92,130
130,132,131
131,150,132
132,156,133
133,238,134
134,296,135
135,370,136
136,512,137
137,55,138
138,35,139
139,70,140
140,231,141
141,232,142
142,406,143
143,36,144
144,37,145
145,274,146
146,276,147
147,425,148
148,483,149
149,61,150
150,38,151
151,106,152
152,107,153
153,233,154
154,372,155
155,411,156
156,40,157
157,41,158
158,123,159
159,42,160
160,140,161
161,242,162
162,429,163
163,470,164
164,438,165
165,43,166
166,44,167
167,49,168
168,50,169
169,64,170
170,222,171
171,271,172
172,336,173
173,380,174
174,421,175
175,142,176
176,46,177
177,47,178
178,265,179
179,451,180
180,244,181
181,437,182
182,316,183
183,52,184
184,51,185
185,80,186
186,235,187
187,339,188
188,447,189
189,501,190
190,54,191
191,186,192
192,332,193
193,439,194
194,101,195
195,56,196
196,137,197
197,253,198
198,285,199
199,340,200
200,469,201
201,403,202
202,57,203
203,482,204
204,515,205
205,58,206
206,331,207
207,59,208
208,219,209
209,239,210
210,241,211
211,474,212
212,78,213
213,60,214
214,190,215
215,281,216
216,363,217
217,496,218
218,62,219
219,126,220
220,310,221
221,252,222
222,63,223
223,65,224
224,381,225
225,397,226
226,99,227
227,264,228
228,357,229
229,400,230
230,442,231
231,182,232
232,405,233
233,514,234
234,149,235
235,68,236
236,199,237
237,351,238
238,352,239
239,353,240
240,468,241
241,160,242
242,69,243
243,327,244
244,399,245
245,152,246
246,188,247
247,256,248
248,260,249
249,314,250
250,354,251
251,358,252
252,402,253
253,486,254
254,493,255
255,511,256
256,178,257
257,72,258
258,426,259
259,509,260
260,157,261
261,73,262
262,502,263
263,510,264
264,74,265
265,75,266
266,266,267
267,298,268
268,321,269
269,124,270
270,76,271
271,133,272
272,350,273
273,77,274
274,288,275
275,79,276
276,359,277
277,373,278
278,108,279
279,135,280
280,257,281
281,300,282
282,408,283
283,489,284
284,498,285
285,462,286
286,94,287
287,84,288
288,283,289
289,317,290
290,424,291
291,503,292
292,144,293
293,85,294
294,181,295
295,185,296
296,212,297
297,436,298
298,98,299
299,86,300
300,177,301
301,449,302
302,114,303
303,88,304
304,323,305
305,409,306
306,471,307
307,131,308
308,89,309
309,214,310
310,488,311
311,491,312
312,90,313
313,335,314
314,91,315
315,431,316
316,147,317
317,165,318
318,261,319
319,290,320
320,318,321
321,342,322
322,377,323
323,410,324
324,423,325
325,475,326
326,95,327
327,247,328
328,440,329
329,466,330
330,96,331
331,104,332
332,159,333
333,240,334
334,328,335
335,100,336
336,383,337
337,102,338
338,197,339
339,103,340
340,217,341
341,301,342
342,312,343
343,360,344
344,105,345
345,362,346
346,166,347
347,109,348
348,192,349
349,228,350
350,387,351
351,111,352
352,286,353
353,338,354
354,446,355
355,485,356
356,141,357
357,112,358
358,221,359
359,464,360
360,116,361
361,117,362
362,139,363
363,145,364
364,146,365
365,155,366
366,234,367
367,279,368
368,284,369
369,295,370
370,346,371
371,368,372
372,419,373
373,484,374
374,356,375
375,445,376
376,450,377
377,158,378
378,118,379
379,289,380
380,479,381
381,167,382
382,119,383
383,153,384
384,170,385
385,196,386
386,216,387
387,223,388
388,229,389
389,250,390
390,294,391
391,348,392
392,396,393
393,448,394
394,504,395
395,505,396
396,125,397
397,127,398
398,268,399
399,215,400
400,130,401
401,460,402
402,461,403
403,224,404
404,325,405
405,494,406
406,394,407
407,184,408
408,136,409
409,138,410
410,245,411
411,326,412
412,307,413
413,309,414
414,230,415
415,391,416
416,148,417
417,183,418
418,151,419
419,315,420
420,161,421
421,154,422
422,267,423
423,302,424
424,304,425
425,164,426
426,195,427
427,277,428
428,278,429
429,375,430
430,168,431
431,171,432
432,206,433
433,172,434
434,218,435
435,495,436
436,507,437
437,508,438
438,173,439
439,189,440
440,174,441
441,175,442
442,176,443
443,179,444
444,382,445
445,324,446
446,180,447
447,308,448
448,455,449
449,191,450
450,385,451
451,193,452
452,210,453
453,211,454
454,201,455
455,202,456
456,203,457
457,392,458
458,205,459
459,341,460
460,272,461
461,458,462
462,220,463
463,420,464
464,513,465
465,259,466
466,225,467
467,365,468
468,390,469
469,226,470
470,227,471
471,407,472
472,237,473
473,236,474
474,246,475
475,376,476
476,273,477
477,395,478
478,249,479
479,334,480
480,319,481
481,320,482
482,330,483
483,481,484
484,254,485
485,255,486
486,345,487
487,427,488
488,412,489
489,467,490
490,444,491
491,473,492
492,270,493
493,275,494
494,371,495
495,416,496
496,500,497
497,293,498
498,311,499
499,480,500
500,303,501
501,454,502
502,443,503
503,322,504
504,472,505
505,487,506
506,329,507
507,343,508
508,465,509
509,366,510
510,490,511
511,367,512
512,398,513
513,413,514
514,428,515
515,459,516
