,nodes,Density
1,0,0.08333333333333333
2,1,0.10795454545454546
3,2,0.10795454545454546
4,3,0.11742424242424243
5,4,0.13825757575757575
6,5,0.13446969696969696
7,6,0.13446969696969696
8,7,0.12878787878787878
9,8,0.12878787878787878
10,9,0.14393939393939395
11,10,0.13825757575757575
12,11,0.14583333333333334
13,12,0.14204545454545456
14,13,0.1268939393939394
15,14,0.14204545454545456
16,15,0.14204545454545456
17,16,0.14204545454545456
18,17,0.14204545454545456
19,18,0.14204545454545456
20,19,0.14015151515151514
21,20,0.14204545454545456
22,21,0.14204545454545456
23,22,0.14204545454545456
24,23,0.13068181818181818
25,24,0.14015151515151514
26,25,0.14015151515151514
27,26,0.14204545454545456
28,27,0.13825757575757575
29,28,0.14015151515151514
30,29,0.13257575757575757
31,30,0.13446969696969696
32,31,0.13068181818181818
33,32,0.10037878787878787
34,33,0.08712121212121213
