,nodes,CnC
0,333,0.3828204261075414
1,23,0.38165879973027644
2,105,0.37821583695289007
3,42,0.3775850567044696
4,41,0.3749585955614442
5,75,0.37433862433862436
6,232,0.3733509234828496
7,51,0.37322782723376197
8,134,0.36993464052287583
9,377,0.36860957342885053
10,2,0.3666990605766116
11,53,0.36658031088082904
12,136,0.36516129032258066
13,38,0.3642213642213642
14,133,0.3642213642213642
15,577,0.35982199618563254
16,240,0.359023152553124
17,45,0.35879556259904916
18,195,0.35800126502213786
19,20,0.3578880809358204
20,354,0.3578880809358204
21,331,0.35664776307498425
22,127,0.354858934169279
23,44,0.3547477279849577
24,80,0.3547477279849577
25,49,0.3543035993740219
26,268,0.35308796007485965
27,353,0.35286783042394015
28,39,0.35242839352428396
29,236,0.3518806341311781
30,315,0.35133457479826197
31,428,0.3510077519379845
32,48,0.3508989460632362
33,0,0.3497065183812172
34,467,0.34895191122071517
35,226,0.34884437596302004
36,182,0.3485221674876847
37,12,0.347239263803681
38,139,0.3467075038284839
39,15,0.3466013472137171
40,55,0.3458600672166208
41,73,0.3458600672166208
42,242,0.34575442883323154
43,366,0.34533251982916413
44,184,0.34480657934815717
45,115,0.3447015834348356
46,57,0.3445966514459665
47,355,0.3441775615688659
48,203,0.34365513054037644
49,79,0.34355083459787555
50,270,0.34355083459787555
51,330,0.34271874053890405
52,30,0.34261501210653755
53,531,0.34230420320532207
54,61,0.3418906674720628
55,50,0.3417874396135266
56,18,0.3416842740718382
57,71,0.3416842740718382
58,298,0.3404511278195489
59,395,0.34034876728803365
60,181,0.3402464682897505
61,328,0.3401442307692308
62,209,0.33993993993993993
63,563,0.3386180077774454
64,81,0.33851674641148327
65,213,0.33851674641148327
66,389,0.33841554559043346
67,103,0.33831440526001194
68,419,0.33801134667064797
69,542,0.33791044776119405
70,8,0.3370050610300685
71,205,0.33690476190476193
72,10,0.3368045224635525
73,453,0.3368045224635525
74,334,0.3367043426531826
75,6,0.33650416171224734
76,283,0.3363042186571598
77,466,0.3363042186571598
78,23,0.3362043362043362
79,93,0.336104513064133
80,503,0.335606285206048
81,238,0.33550681683461764
82,254,0.33550681683461764
83,350,0.3352087651761919
84,24,0.335109532267614
85,465,0.335109532267614
86,141,0.33501035809411067
87,544,0.3349112426035503
88,37,0.3348121857438628
89,105,0.3348121857438628
90,267,0.3346142477091339
91,371,0.33431777909037214
92,433,0.33421907292589315
93,154,0.3339233038348083
94,340,0.3339233038348083
95,686,0.33323520753606123
96,68,0.3331371394938199
97,343,0.3331371394938199
98,587,0.33294117647058824
99,469,0.33274544385655497
100,200,0.3325499412455934
101,14,0.3322571176988553
102,149,0.33215962441314556
103,43,0.33196480938416423
104,156,0.3316730149428655
105,367,0.33147877013177157
106,193,0.331284752707053
107,438,0.33118782913984784
108,132,0.3310909622696695
109,253,0.3309941520467836
110,199,0.33089739842151417
111,392,0.33089739842151417
112,338,0.3307040607654105
113,383,0.3307040607654105
114,69,0.33060747663551404
115,19,0.33022170361726955
116,119,0.33022170361726955
117,391,0.33012540099154275
118,146,0.3297407515292747
119,5,0.3296447291788002
120,258,0.3296447291788002
121,380,0.3296447291788002
122,302,0.32945285215366704
123,584,0.32926119837114604
124,273,0.3287830380482138
125,123,0.32868757259001163
126,9,0.32830626450116007
127,202,0.32821107567410845
128,548,0.32811594202898553
129,281,0.32802086351782095
130,72,0.3278308717057631
131,142,0.3274515475846109
132,313,0.3274515475846109
133,567,0.32735685367264317
134,1,0.32707310026004044
135,130,0.3269786250722126
136,3,0.3266955266955267
137,145,0.32660126947489904
138,572,0.32660126947489904
139,659,0.32650706662820883
140,56,0.32631882386855
141,388,0.3262247838616715
142,106,0.3256616800920598
