,nodes,Efficiency,Density
1,1,0.2995991297678886,0.00846994279430005
2,2,0.29840882094994764,0.00848087779975193
3,3,0.29952454484805247,0.008457445645212187
4,4,0.2997112842421717,0.008482439943387914
5,5,0.2998016802872391,0.008501185667019712
6,6,0.2997238855341669,0.008484002087023898
7,7,0.2994224847971694,0.008476191368843982
8,8,0.29985838610122284,0.008504309954291677
9,9,0.29973334952102854,0.00849025066156783
10,10,0.2991192132071937,0.008466818507028084
11,11,0.2996945674455712,0.008485564230659881
12,12,0.29977228595115535,0.008488688517931846
13,13,0.29929892295495697,0.008477753512479966
14,14,0.29903752797259614,0.008460569932484152
15,15,0.299688700108464,0.008487126374295864
16,16,0.2992978740870954,0.008437137777944406
17,17,0.2998796461322308,0.00850587209792766
18,18,0.2997305432415699,0.008488688517931846
19,19,0.29963486938264855,0.008473067081572016
20,20,0.2997444054066453,0.00849025066156783
21,21,0.2983587970194165,0.008449634927032271
22,22,0.29982599765650353,0.008493374948839796
23,23,0.2987401441764099,0.008437137777944406
24,24,0.2988838725490585,0.008451197070668253
25,25,0.2995601319678432,0.008485564230659881
26,26,0.29991204573511815,0.008512120672471592
27,27,0.29971352517441363,0.008484002087023898
28,28,0.29978717838715074,0.008498061379747745
29,29,0.2998093608267828,0.008502747810655693
30,30,0.2991534371706879,0.008476191368843982
31,31,0.29970105220135923,0.008482439943387914
32,32,0.2999067604824835,0.008512120672471592
33,33,0.2998603387807677,0.008504309954291677
34,34,0.29968361198347765,0.008487126374295864
35,35,0.2999631799034671,0.008515244959743559
36,36,0.2999631799034671,0.008515244959743559
37,37,0.2999631799034671,0.008515244959743559
38,38,0.2995019160816826,0.008477753512479966
39,39,0.2996198244516811,0.008473067081572016
40,40,0.2995815742489363,0.008474629225207999
41,41,0.29861053460667586,0.008440262065216373
42,42,0.2990989053399559,0.008437137777944406
43,43,0.2998248260487775,0.008501185667019712
44,44,0.29969934872091647,0.008488688517931846
45,45,0.29902956104006134,0.008468380650664067
46,46,0.2994808438798445,0.008460569932484152
47,47,0.2998392758774103,0.00850587209792766
48,48,0.2998072779686013,0.00850587209792766
49,49,0.299429864066162,0.00845432135794022
50,50,0.2996985788072667,0.008476191368843982
51,51,0.2995069744515472,0.008482439943387914
52,52,0.299209151767374,0.008457445645212187
53,53,0.2998891863665782,0.008513682816107575
54,54,0.2990184884171937,0.008466818507028084
55,55,0.29976324039562596,0.008493374948839796
56,56,0.2995912855752082,0.008462132076120135
57,57,0.2995761550982792,0.008473067081572016
58,58,0.2979789004243958,0.008465256363392102
59,59,0.2996103902199381,0.008487126374295864
60,60,0.29992407424111356,0.008512120672471592
61,61,0.29946594586474745,0.008501185667019712
62,62,0.2996064160521394,0.008476191368843982
63,63,0.29986949219859727,0.008501185667019712
64,64,0.29981688515196336,0.00849025066156783
65,65,0.29903511036933184,0.008488688517931846
66,66,0.2997909052155416,0.00849493709247578
67,67,0.29898089654639265,0.00849493709247578
68,68,0.29982864586190794,0.008491812805203813
69,69,0.29885240279358444,0.00846994279430005
70,70,0.2995009825148881,0.00848087779975193
71,71,0.299765219110899,0.008496499236111761
72,72,0.2991761645009231,0.008459007788848168
73,73,0.29960156968747914,0.008484002087023898
74,74,0.299143173515069,0.008484002087023898
75,75,0.2997636402300127,0.008498061379747745
76,76,0.2989373945655649,0.008449634927032271
77,77,0.29983005922995815,0.008504309954291677
78,78,0.2993869125549407,0.008498061379747745
79,79,0.29979622766207153,0.008498061379747745
80,80,0.2990111798166084,0.008476191368843982
81,81,0.29957567901641197,0.00847931565611595
82,82,0.2995461433435245,0.00848087779975193
83,83,0.2998755957169462,0.008507434241563644
84,84,0.2997914222106959,0.008493374948839796
85,85,0.2997681871838074,0.008482439943387914
86,86,0.2998005867866938,0.008499623523383728
87,87,0.2998286012292316,0.008507434241563644
88,88,0.2998248929977904,0.008498061379747745
89,89,0.2998738513232193,0.008504309954291677
90,90,0.29956148954505285,0.008482439943387914
91,91,0.2993365073869554,0.008498061379747745
92,92,0.2985620412049058,0.008496499236111761
93,93,0.29933538785068275,0.008487126374295864
94,94,0.29963257823864964,0.00847931565611595
95,95,0.2998914775105778,0.008508996385199627
96,96,0.2998825732918532,0.00850587209792766
97,97,0.2998869993654874,0.008513682816107575
98,98,0.29953098311145526,0.008508996385199627
