,nodes,EC
0,1,0.3799950453598546
1,18,0.255898356946562
2,11,0.2530004877878702
3,17,0.219520021528559
4,67,0.18014156335300485
5,67,0.1703702963054931
6,4,0.15344246612452836
7,5,0.15344246612452836
8,64,0.15256027370368583
9,36,0.13620235545035522
10,101,0.1309053555862519
11,6,0.12637813792615096
12,7,0.12637813792615096
13,188,0.12600073474805576
14,186,0.12101234030854495
15,167,0.1025883011821478
16,116,0.10223388896549314
17,348,0.0964043245076098
18,61,0.09181283985775558
19,102,0.08924296305953228
20,174,0.08633035106838755
21,48,0.085179903609427
22,233,0.0851711567523406
23,300,0.08436339605530137
24,295,0.08345329512576866
25,293,0.07510311502479426
26,321,0.07428518101907784
27,69,0.0732471943554326
28,246,0.07248734749849532
29,71,0.07233416975140332
30,30,0.07226046323900004
31,369,0.06948261394102047
32,294,0.06528719236776974
33,220,0.06481843405704307
34,347,0.06461064635413537
35,120,0.06343954390384482
36,173,0.06226654145605005
37,52,0.061334030143699016
38,2,0.060756627199474486
39,320,0.06034803732285578
40,155,0.05986617266711945
41,280,0.05926846723513601
42,206,0.059159769250230865
43,139,0.05891268435208068
44,32,0.05889279045749775
45,168,0.05735787283578093
46,345,0.05595873024979844
47,287,0.05537681732841215
48,195,0.054054076851525905
49,366,0.05397296986111466
50,56,0.05386440610395157
51,284,0.05348305648708883
52,180,0.05346037339448439
53,12,0.05218617999390131
54,26,0.051366280634876194
55,235,0.05117376894451513
56,231,0.05035750427289504
57,70,0.049752365606066475
58,234,0.04937853488654627
59,91,0.049174404425853184
60,159,0.04849625107661254
61,121,0.04811554989279471
62,312,0.04809353114126412
63,208,0.04775927732507091
64,55,0.0475499909905849
65,14,0.04745038714441312
66,313,0.046450916176224794
67,339,0.04604600233873498
68,291,0.04530932405915098
69,337,0.04506657291193935
70,170,0.04478364150681715
71,172,0.04464516070721002
72,38,0.04449288312249919
73,407,0.044257130583719446
74,23,0.04388079035097773
75,349,0.04375028741587248
76,24,0.043589025659518416
77,192,0.04288026411511645
78,13,0.04272717187157116
79,327,0.04254603393608897
80,343,0.04253429073056024
81,276,0.0425228629798446
82,334,0.042257356096288355
83,425,0.0421528818342066
84,322,0.042008244304693965
85,249,0.04196932364743209
86,68,0.041958996693231713
87,50,0.041591559306873596
88,362,0.04146757709266327
89,335,0.04140203967274037
90,105,0.040677679984474524
91,176,0.040263340530316244
92,165,0.040146349890145275
93,309,0.03938912074634508
94,62,0.03921909232577276
95,58,0.039054678607352455
96,346,0.03892211980716734
97,1,0.03889104703546274
98,115,0.038862238327966724
99,90,0.03881752227762668
100,11,0.03877343727027877
101,236,0.03857581664100739
102,228,0.03846517675425386
103,430,0.03839657767346478
104,183,0.03836288644114367
105,223,0.038196424941047254
106,221,0.0381950773569149
107,326,0.03818502879926425
108,319,0.03798353790067813
109,292,0.03781563490079321
110,93,0.03761642994907974
111,171,0.03759812763593872
112,187,0.037383988807159756
113,164,0.03719206292857076
114,129,0.03689084833476642
115,54,0.03629445799595895
116,310,0.035970055928737664
117,177,0.035963267905620724
118,104,0.03581367286118673
119,283,0.035682018180152555
120,166,0.03544688396921271
121,19,0.0354077592387419
122,277,0.034968846455903584
123,113,0.034953388854838355
124,185,0.03476264962391819
125,336,0.034375718254651355
126,274,0.034314849658171456
127,212,0.03378944176447191
128,126,0.032884087451259446
129,89,0.03243260633164378
130,109,0.03230268428158986
131,141,0.03185149803771087
132,230,0.031603514469016415
133,351,0.031591194046579806
134,211,0.031573372356619805
135,306,0.03154997379093583
136,210,0.03148895730368753
137,209,0.03148428517136056
138,203,0.03144578225330993
139,421,0.03139632383665248
140,262,0.031301439403883094
141,35,0.031132214051801603
142,196,0.030915937036508707
143,296,0.030901413825020475
144,383,0.030867937674976084
145,382,0.03043883802473607
146,204,0.03043744922794351
147,384,0.03031701799771023
148,391,0.030105786198848086
149,8,0.030099627368925415
150,431,0.030035287425968095
151,253,0.029862621520253842
152,112,0.029787968385504352
153,27,0.029762163573129847
154,244,0.029260686600675528
155,63,0.02923417938565639
156,350,0.02895929980216833
157,317,0.028955900654865013
158,219,0.02894728073555725
159,265,0.028763047560299262
160,252,0.028655837587979967
161,179,0.028625092072326747
162,387,0.028568453806682825
163,117,0.02833940901494438
164,140,0.028107205218311306
165,370,0.027980061011521798
166,25,0.027908060782228107
167,358,0.027832400785002296
168,198,0.027816597827431806
169,266,0.027811568899685665
170,53,0.0278097184240262
171,395,0.0277724600556797
172,59,0.027772045897306627
173,123,0.027761049661983235
174,137,0.02774121691804114
175,84,0.027701398889808635
176,134,0.027700982227382372
177,87,0.02770098214381421
178,131,0.02770098214293957
179,81,0.027700982142939395
180,65,0.027688392457334374
181,344,0.027522304448212433
182,96,0.02746301891121114
183,267,0.026969448239153614
184,92,0.02684803721684813
185,290,0.026831715731065183
186,153,0.026765895531469276
187,365,0.026709333061745773
188,307,0.02670825469373725
189,182,0.026470980987919772
190,311,0.026383806956272397
191,250,0.026179688364610234
192,22,0.0261500367405507
193,251,0.02614435375932154
194,299,0.026113445123694786
195,298,0.026085197843352087
196,264,0.025982203252553956
197,390,0.02594697053106623
198,420,0.025938254087475087
199,127,0.025928903246441874
200,240,0.025779670645808887
201,199,0.02573802830437147
202,207,0.025706448489926707
203,429,0.025662265267363572
204,245,0.025549371211076165
205,286,0.025490584260219933
206,100,0.025305927866788053
207,247,0.025303857273781837
208,239,0.025272701285328728
209,9,0.025204085477916027
210,243,0.025172198427351813
211,281,0.025085928505535707
212,282,0.025085928505535707
213,181,0.025066163823600964
214,405,0.02501065843410732
215,406,0.02501065843410732
216,111,0.024858821617776004
217,408,0.02458373375644468
218,122,0.02332743021140766
219,94,0.023159732594386508
220,15,0.023007524026804966
221,418,0.022973966475408947
222,175,0.02290901531596983
223,375,0.0228582769696124
224,3,0.02278340993177915
225,415,0.022726731441581022
226,392,0.0224350721661558
227,341,0.022352179505621777
228,189,0.022237420254263483
229,242,0.022134683790407953
230,197,0.02204891960116304
231,353,0.021961988542183078
232,270,0.02179920264838094
233,417,0.021745892785293805
234,419,0.021745892785293805
235,237,0.02168973472299906
236,83,0.021636543476774878
237,136,0.02162712648119712
238,86,0.021625594913799492
239,133,0.02162559489402284
240,80,0.02162559489080809
241,130,0.021625594890808047
242,162,0.021594654182161242
243,125,0.021426314657747143
244,394,0.02140777432741162
245,422,0.02140777432741162
246,138,0.02133353733268409
247,106,0.02125693354672156
248,39,0.02082372909040929
249,142,0.02073775170857306
250,103,0.020563941297213593
251,118,0.020500824978292604
252,85,0.020276532141079266
253,135,0.02027651849508359
254,88,0.020276516275989215
255,132,0.020276516275960537
256,82,0.020276516275955888
257,124,0.02015506811760973
258,315,0.019988430909568266
259,361,0.01996934526107058
260,128,0.019915925544773172
261,51,0.01982047606818127
262,332,0.019754676491286413
263,389,0.019682781446871404
264,314,0.019545242158012323
265,328,0.019521812015855164
266,318,0.019514158473258967
267,323,0.01950044779250888
268,329,0.01950044779250888
269,119,0.019463022457264324
270,49,0.01933806678600802
271,424,0.01930147691825995
272,356,0.019209577175022596
273,218,0.019205852782145937
274,95,0.019192412684391424
275,152,0.019087738824898903
276,342,0.019073217850786105
277,364,0.01902288186438326
278,340,0.0189199738147293
279,333,0.018821238079495484
280,316,0.018813277042799233
281,324,0.01881157429307691
282,325,0.01881157429307691
283,330,0.01881157429307691
284,331,0.01881157429307691
285,423,0.018745924532580324
286,427,0.018745924532580324
287,241,0.01867621203391119
288,150,0.01846873643091636
289,184,0.01807987120049437
290,308,0.01802149966031306
291,98,0.018014649915404055
292,222,0.018013097227964292
293,411,0.017932478030877802
294,232,0.01790092875019973
295,149,0.017866495231110703
296,224,0.017726677342758804
297,396,0.017567137449067103
298,410,0.017567137449067103
299,428,0.017486979326133023
300,413,0.01745807093446027
301,194,0.017423558678778574
302,404,0.017372875057235067
303,409,0.017351730558247583
304,426,0.017351730558247583
305,107,0.0171674511359972
306,371,0.017156634444461118
307,227,0.017144787542586245
308,147,0.01709973754353421
309,148,0.01709973754353421
310,432,0.01703501345050961
311,272,0.01690731359953549
312,401,0.016827439389812827
313,273,0.016788389302391328
314,99,0.016772914516160028
315,169,0.016635337021898903
316,97,0.016449292434174523
317,151,0.016445463813177037
318,301,0.016427603933532885
319,191,0.016408274166487817
320,229,0.016366168439305308
321,414,0.016307889576445057
322,144,0.016253261137384976
323,145,0.016253261137384976
324,57,0.016069043688619594
325,214,0.01600806890630835
326,268,0.015843993758990524
327,402,0.01570399903236301
328,412,0.01570399903236301
329,397,0.015679082884957132
330,398,0.015679082884957132
331,399,0.015679082884957132
332,400,0.015679082884957132
333,143,0.01567908288495713
334,146,0.01567908288495713
