,nodes,BC
0,1,0.43763528138528146
1,34,0.30407497594997596
2,33,0.145247113997114
3,3,0.14365680615680618
4,32,0.13827561327561325
5,8,0.05592682780182781
6,1,0.053936688311688304
7,13,0.04586339586339586
8,19,0.03247504810004811
9,5,0.02998737373737374
10,6,0.029987373737373736
11,27,0.02233345358345358
12,23,0.017613636363636363
13,30,0.014411976911976909
14,3,0.011909271284271283
15,25,0.0038404882154882154
16,29,0.0029220779220779218
17,24,0.0022095959595959595
18,28,0.0017947330447330447
19,9,0.0008477633477633478
20,4,0.0006313131313131313
21,10,0.0006313131313131313
22,7,0.0
23,11,0.0
24,12,0.0
25,14,0.0
26,15,0.0
27,16,0.0
28,17,0.0
29,18,0.0
30,20,0.0
31,21,0.0
32,22,0.0
33,26,0.0
